,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
313,Breeze,2577073,10,1802,12,240,16,2.0,2950,3250,3800,False,True
314,Breeze,2577073,10,1597,4,420,4,1.0,1200,400,3300,False,True
315,Breeze,2577073,10,4509,14,599,4,2.0,2000,4650,4800,False,True
316,Breeze,2577073,10,1091,6,0,4,2.0,5950,1600,5300,False,False
317,Breeze,2577073,10,3599,3,0,23,1.0,1400,3400,3000,False,False
318,Breeze,2577073,10,11412,4,0,4,2.0,2600,1550,4600,False,False
319,Breeze,2577073,10,1804,15,279,4,2.0,2500,1450,4200,False,True
320,Breeze,2577074,11,763,16,400,6,2.0,2850,4600,4600,True,True
321,Breeze,2577074,11,1012,6,201,4,2.0,100,1400,5100,True,True
322,Breeze,2577074,11,1023,3,100,4,2.0,650,1600,4700,True,True
323,Breeze,2577074,11,1802,12,293,15,2.0,450,5700,6250,True,True
324,Breeze,2577074,11,1597,4,280,4,2.0,2400,4900,4900,True,True
325,Breeze,2577074,11,4509,14,0,4,1.0,250,4050,4200,False,False
326,Breeze,2577074,11,1091,6,18,4,2.0,450,4500,4500,False,False
327,Breeze,2577074,11,3599,3,0,4,2.0,1700,4500,4100,False,False
328,Breeze,2577074,11,11412,4,0,4,2.0,450,4050,4600,False,False
329,Breeze,2577074,11,1804,15,0,4,2.0,400,4200,4200,False,False
330,Breeze,2577075,12,763,16,31,6,2.0,2150,1000,4900,False,False
331,Breeze,2577075,12,1012,6,605,4,2.0,2700,600,5100,False,True
332,Breeze,2577075,12,1023,3,0,4,2.0,2950,900,4300,True,True
333,Breeze,2577075,12,1802,12,550,15,2.0,2000,4550,6550,True,True
334,Breeze,2577075,12,1597,4,164,15,2.0,350,5250,6700,True,True
335,Breeze,2577075,12,4509,14,590,5,1.0,50,2600,3100,False,True
336,Breeze,2577075,12,1091,6,25,5,1.0,0,2850,2850,False,True
